sample_id	phylum	Surface	rela
CD1_ita_i	Candidatus Saccharibacteria	clean drain	2.704074202257771e-4
CD1_ita_i	Chlamydiota	clean drain	7.31743643408639e-6
CD1_ita_i	Chlorobiota	clean drain	1.0882341363513093e-5
CD1_ita_i	Chloroflexota	clean drain	4.0302188360045045e-5
CD1_ita_i	Chrysiogenota	clean drain	3.790056819706284e-6
CD1_ita_i	Coprothermobacterota	clean drain	1.0131835062581155e-6
CD1_ita_i	Cyanobacteriota	clean drain	1.305505710471105e-4
CD1_ita_i	Deferribacterota	clean drain	3.790056819706284e-6
CD1_ita_i	Deinococcota	clean drain	0.0180049838871926
CD1_ita_i	Dictyoglomota	clean drain	7.505063009319375e-7
CD1_ita_i	Elusimicrobiota	clean drain	1.2383353965376967e-6
CD1_ita_i	Fibrobacterota	clean drain	6.754556708387437e-7
CD1_ita_i	Fusobacteriota	clean drain	1.7242882263911264e-4
CD1_ita_i	Gemmatimonadota	clean drain	1.429714503275341e-5
CD1_ita_i	Ignavibacteriota	clean drain	2.8143986284947653e-6
CD1_ita_i	Kiritimatiellota	clean drain	5.816423832222515e-6
CD1_ita_i	Lentisphaerota	clean drain	7.129809858853406e-7
CD1_ita_i	Mycoplasmatota	clean drain	5.617539662475552e-5
CD1_ita_i	Myxococcota	clean drain	3.0661934924574306e-4
CD1_ita_i	Nitrospinota	clean drain	8.255569310251312e-7
CD1_ita_i	Nitrospirota	clean drain	1.0694714788280109e-5
CD1_ita_i	Planctomycetota	clean drain	1.7374220866574352e-4
CD1_ita_i	Pseudomonadota	clean drain	0.3243855220279791
CD1_ita_i	Rhodothermota	clean drain	1.6848866455921997e-5
CD1_ita_i	Spirochaetota	clean drain	5.748878265138641e-5
CD1_ita_i	Synergistota	clean drain	2.724337872382933e-5
CD1_ita_i	Thermodesulfobacteriota	clean drain	3.970178331929949e-4
CD1_ita_i	Thermodesulfobiota	clean drain	1.2383353965376967e-6
CD1_ita_i	Thermomicrobiota	clean drain	3.6774808745664937e-6
CD1_ita_i	Thermosulfidibacterota	clean drain	1.501012601863875e-7
CD1_ita_i	Thermotogota	clean drain	1.0882341363513093e-5
CD1_ita_i	Unknown	clean drain	0.010327041751453553
CD1_ita_i	Verrucomicrobiota	clean drain	8.769666126389689e-5
CD1_ita_i	Vulcanimicrobiota	clean drain	3.6774808745664933e-6
CD2_ita_i	Acidobacteriota	clean drain	9.380509229677111e-5
CD2_ita_i	Actinomycetota	clean drain	0.40230895088837626
CD2_ita_i	Aquificota	clean drain	3.0405788537574084e-6
CD2_ita_i	Armatimonadota	clean drain	4.819640949040998e-6
CD2_ita_i	Atribacterota	clean drain	1.1321304242713753e-6
CD2_ita_i	Bacillota	clean drain	0.012818692288438625
CD2_ita_i	Bacteroidota	clean drain	0.013276331752512666
CD2_ita_i	Balneolota	clean drain	2.134874514340308e-6
CD2_ita_i	Bdellovibrionota	clean drain	2.2629669852007264e-4
CD2_ita_i	Caldisericota	clean drain	6.469316710122145e-8
CD2_ita_i	Calditrichota	clean drain	9.703975065183218e-7
CD2_ita_i	Campylobacterota	clean drain	0.01064215537448513
CD2_ita_i	Candidatus Absconditibacteriota	clean drain	8.410111723158789e-7
CD2_ita_i	Candidatus Bipolaricaulota	clean drain	8.086645887652682e-7
CD2_ita_i	Candidatus Cloacimonadota	clean drain	1.4879428433280934e-6
CD2_ita_i	Candidatus Fervidibacterota	clean drain	8.410111723158789e-7
CD2_ita_i	Candidatus Omnitrophota	clean drain	3.55812419056718e-7
CD2_ita_i	Candidatus Saccharibacteria	clean drain	1.8809538334680137e-4
CD2_ita_i	Chlamydiota	clean drain	6.69574279497642e-6
CD2_ita_i	Chlorobiota	clean drain	1.332679242285162e-5
CD2_ita_i	Chloroflexota	clean drain	5.1075255426414335e-5
CD2_ita_i	Chrysiogenota	clean drain	7.019208630482527e-6
CD2_ita_i	Coprothermobacterota	clean drain	4.5285216970855017e-7
CD2_ita_i	Cyanobacteriota	clean drain	1.257311702612239e-4
CD2_ita_i	Deferribacterota	clean drain	2.9111925195549652e-6
CD2_ita_i	Deinococcota	clean drain	0.006399318703318623
CD2_ita_i	Dictyoglomota	clean drain	6.469316710122145e-7
CD2_ita_i	Elusimicrobiota	clean drain	1.5202894268787042e-6
CD2_ita_i	Fibrobacterota	clean drain	5.175453368097716e-7
CD2_ita_i	Fusobacteriota	clean drain	1.2087918272863228e-4
CD2_ita_i	Gemmatimonadota	clean drain	1.471769551552788e-5
CD2_ita_i	Ignavibacteriota	clean drain	3.913936609623898e-6
CD2_ita_i	Kiritimatiellota	clean drain	6.534009877223367e-6
CD2_ita_i	Lentisphaerota	clean drain	7.439714216640467e-7
CD2_ita_i	Mycoplasmatota	clean drain	6.0326378321889005e-5
CD2_ita_i	Myxococcota	clean drain	2.927042345494765e-4
CD2_ita_i	Nitrospinota	clean drain	1.4879428433280934e-6
CD2_ita_i	Nitrospirota	clean drain	1.4491269430673605e-5
CD2_ita_i	Planctomycetota	clean drain	2.433433480512445e-4
CD2_ita_i	Pseudomonadota	clean drain	0.5063242099363141
CD2_ita_i	Rhodothermota	clean drain	1.559105327139437e-5
CD2_ita_i	Spirochaetota	clean drain	8.316306630862018e-5
CD2_ita_i	Synergistota	clean drain	3.622817357668401e-5
CD2_ita_i	Thermodesulfobacteriota	clean drain	5.586578445025979e-4
CD2_ita_i	Thermodesulfobiota	clean drain	2.9111925195549653e-7
CD2_ita_i	Thermomicrobiota	clean drain	4.366788779332448e-6
CD2_ita_i	Thermosulfidibacterota	clean drain	2.2642608485427508e-7
CD2_ita_i	Thermotogota	clean drain	1.526758743588826e-5
CD2_ita_i	Unknown	clean drain	0.04593693593623272
CD2_ita_i	Verrucomicrobiota	clean drain	8.313071972506957e-5
CD2_ita_i	Vulcanimicrobiota	clean drain	2.749459601801912e-6
CD3_ita_i	Acidobacteriota	clean drain	1.394868424753776e-4
CD3_ita_i	Actinomycetota	clean drain	0.7201740130352275
CD3_ita_i	Aquificota	clean drain	5.192611814097508e-6
CD3_ita_i	Armatimonadota	clean drain	7.259812725870923e-6
CD3_ita_i	Atribacterota	clean drain	4.429716239514462e-7
CD3_ita_i	Bacillota	clean drain	0.001957245510894801
CD3_ita_i	Bacteroidota	clean drain	0.04448092179048047
CD3_ita_i	Balneolota	clean drain	1.7226674264778463e-6
CD3_ita_i	Bdellovibrionota	clean drain	2.0229037493782709e-4
CD3_ita_i	Caldisericota	clean drain	2.460953466396923e-7
CD3_ita_i	Calditrichota	clean drain	7.628955745830462e-7
CD3_ita_i	Campylobacterota	clean drain	9.146871843904084e-4
CD3_ita_i	Candidatus Absconditibacteriota	clean drain	7.38286039919077e-8
CD3_ita_i	Candidatus Bipolaricaulota	clean drain	2.5101725357248617e-6
CD3_ita_i	Candidatus Cloacimonadota	clean drain	5.168002279433539e-7
CD3_ita_i	Candidatus Fervidibacterota	clean drain	4.085182754218892e-6
CD3_ita_i	Candidatus Omnitrophota	clean drain	3.691430199595385e-7
