sample_id	family	Surface	rela
CAR1_ita_i	Erythrobacteraceae	carcass	2.9097395971057266e-4
CAR1_ita_i	Eubacteriaceae	carcass	6.39862119309537e-4
CAR1_ita_i	Eubacteriales Family XIII. Incertae Sedis	carcass	4.371624197001661e-5
CAR1_ita_i	Euzebyaceae	carcass	8.642235254663103e-6
CAR1_ita_i	Fastidiosibacteraceae	carcass	4.770064913288076e-6
CAR1_ita_i	Ferrimonadaceae	carcass	2.2447364297826243e-5
CAR1_ita_i	Ferrovaceae	carcass	8.361643200940275e-6
CAR1_ita_i	Fervidobacteriaceae	carcass	2.9636132714205095e-4
CAR1_ita_i	Fibrobacteraceae	carcass	5.8924331281793885e-6
CAR1_ita_i	Filifactoraceae	carcass	0.006836232560081493
CAR1_ita_i	Fimbriimonadaceae	carcass	1.571315500847837e-6
CAR1_ita_i	Flammeovirgaceae	carcass	8.339195836642448e-5
CAR1_ita_i	Flavobacteriaceae	carcass	0.0760229376147341
CAR1_ita_i	Flectobacillaceae	carcass	2.6992955568136058e-5
CAR1_ita_i	Flexistipitaceae	carcass	2.7498021264837145e-6
CAR1_ita_i	Fluviibacteraceae	carcass	1.0774734862956596e-5
CAR1_ita_i	Fontisphaeraceae	carcass	7.014801343070701e-6
CAR1_ita_i	Francisellaceae	carcass	3.939512434268505e-5
CAR1_ita_i	Frankiaceae	carcass	4.8093478008092725e-5
CAR1_ita_i	Fulvivirgaceae	carcass	7.233663144974507e-5
CAR1_ita_i	Fusobacteriaceae	carcass	0.0011724819556862092
CAR1_ita_i	Gallaecimonadaceae	carcass	1.6554931169646853e-5
CAR1_ita_i	Gallionellaceae	carcass	5.6118410744565605e-5
CAR1_ita_i	Geitlerinemataceae	carcass	4.264999216586986e-6
CAR1_ita_i	Gemellaceae	carcass	6.835222428688091e-5
CAR1_ita_i	Geminicoccaceae	carcass	1.964144376059796e-5
CAR1_ita_i	Geminocystaceae	carcass	4.203268964767964e-5
CAR1_ita_i	Gemmataceae	carcass	3.0191704980576296e-5
CAR1_ita_i	Gemmatimonadaceae	carcass	1.902414124240774e-5
CAR1_ita_i	Geoalkalibacteraceae	carcass	1.1392037381146818e-5
CAR1_ita_i	Geobacteraceae	carcass	5.8475383995837364e-5
CAR1_ita_i	Geochordaceae	carcass	6.285262003391347e-6
CAR1_ita_i	Geodermatophilaceae	carcass	7.778011729196793e-5
CAR1_ita_i	Geopsychrobacteraceae	carcass	2.2447364297826243e-6
CAR1_ita_i	Geovibrionaceae	carcass	7.40763021828266e-6
