sample_id	sample_coverm	Contig_name	Mean coverm	Trimmed Mean coverm	Variance coverm	RPKM coverm	Covered Bases coverm	Length coverm	Read Count coverm	Reads per base coverm	total_rpkm coverm	TPM coverm
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_59240_length_1885_cov_5.602186	8.771758	8.612924	13.270824	0.81103903	1885	1885	108	0.05729443	822701.4412394845	0.98582424843949
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_66203_length_1742_cov_3.412567	5.65201	5.4351463	11.084359	0.5281953	1742	1742	65	0.03731343	822701.4412394845	0.6420254949404481
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_66749_length_1732_cov_14.913536	23.726295	23.87781	35.9611	2.133153	1732	1732	261	0.15069284	822701.4412394845	2.592864061093883
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_70900_length_1658_cov_161.108546	254.91048	256.15463	664.0869	23.077612	1658	1658	2703	1.6302774	822701.4412394845	28.051016861270107
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_73209_length_1622_cov_2.114231	3.2900815	3.2722473	1.7832327	0.2967272	1622	1622	34	0.020961776	822701.4412394845	0.36067421925619814
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_74072_length_1607_cov_14.034794	22.190117	22.153847	23.334028	2.0260088	1607	1607	230	0.14312384	822701.4412394845	2.4626294527302752
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_78451_length_1542_cov_8.396772	13.918103	14.026316	36.986824	1.2117664	1542	1542	132	0.08560311	822701.4412394845	1.4729114831430816
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_104969_length_1253_cov_26.429048	41.325478	41.326283	56.876728	3.671653	1253	1253	325	0.25937748	822701.4412394845	4.462922776053822
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_107588_length_1231_cov_6.778061	10.8769655	10.923946	29.391335	0.93144304	1194	1231	81	0.06580016	822701.4412394845	1.1321762589800317
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_116551_length_1161_cov_29.092224	44.171116	44.01976	62.87664	3.9869876	1161	1161	327	0.28165373	822701.4412394845	4.846214434720319
